,Date,Round,Total,Games,Ave.
6,1936-05-03,Round 7,75250,6,12542
7,1936-05-10,Round 8,82730,6,13788
8,1936-05-17,Round 9,85000,6,14167
9,1936-05-24,Round 10,84657,6,14110
10,1936-05-31,Round 11,77500,6,12917
11,1936-06-07,Round 12,67510,6,11252
12,1936-06-14,Round 13,84000,6,14000
13,1936-06-21,Round 14,64129,6,10688
14,1936-06-28,Round 15,73000,6,12167
15,1936-07-05,Round 16,70403,6,11734
16,1936-07-12,Round 17,86100,6,14350
17,1936-07-19,Round 18,75648,6,12608
18,1936-07-26,Finals,234516,4,58629
0,1937-03-22,Round 1,125726,6,20954
1,1937-03-29,Round 2,100600,6,16767
2,1937-04-05,Round 3,91831,6,15305
3,1937-04-12,Round 4,93000,6,15500
4,1937-04-19,Round 5,113123,6,18854
5,1937-04-26,Round 6,97000,6,16167
6,1937-05-03,Round 7,83406,6,13901
7,1937-05-10,Round 8,106600,6,17767
8,1937-05-17,Round 9,94376,6,15729
9,1937-05-24,Round 10,90500,6,15083
10,1937-05-31,Round 11,56938,6,9490
11,1937-06-07,Round 12,84000,6,14000
12,1937-06-14,Round 13,75449,6,12575
13,1937-06-21,Round 14,70500,6,11750
14,1937-06-28,Round 15,78904,6,13151
15,1937-07-05,Round 16,71000,6,11833
16,1937-07-12,Round 17,57553,6,9592
17,1937-07-19,Round 18,58000,6,9667
18,1937-07-26,Finals,233549,4,58387
0,1938-03-22,Round 1,105000,6,17500
1,1938-03-29,Round 2,101327,6,16888
2,1938-04-05,Round 3,103000,6,17167
3,1938-04-12,Round 4,100569,6,16762
4,1938-04-19,Round 5,108979,6,18163
5,1938-04-26,Round 6,99000,6,16500
6,1938-05-03,Round 7,105877,6,17646
7,1938-05-10,Round 8,127308,6,21218
8,1938-05-17,Round 9,84000,6,14000
9,1938-05-24,Round 10,90000,6,15000
10,1938-05-31,Round 11,75554,6,12592
11,1938-06-07,Round 12,93185,6,15531
12,1938-06-14,Round 13,79000,6,13167
13,1938-06-21,Round 14,78060,6,13010
14,1938-06-28,Round 15,76500,6,12750
15,1938-07-05,Round 16,90000,6,15000
16,1938-07-12,Round 17,91741,6,15290
17,1938-07-19,Round 18,78500,6,13083
18,1938-07-26,Finals,291330,4,72833
0,1939-03-22,Round 1,116840,6,19473
1,1939-03-29,Round 2,104000,6,17333
2,1939-04-05,Round 3,111703,6,18617
3,1939-04-12,Round 4,99500,6,16583
4,1939-04-19,Round 5,90000,6,15000
5,1939-04-26,Round 6,110023,6,18337
6,1939-05-03,Round 7,106500,6,17750
7,1939-05-10,Round 8,123016,6,20503
8,1939-05-17,Round 9,83500,6,13917
9,1939-05-24,Round 10,93563,6,15594
10,1939-05-31,Round 11,58500,6,9750
11,1939-06-07,Round 12,89500,6,14917
12,1939-06-14,Round 13,85247,6,14208
13,1939-06-21,Round 14,87500,6,14583
14,1939-06-28,Round 15,67882,6,11314
15,1939-07-05,Round 16,72913,6,12152
16,1939-07-12,Round 17,78000,6,13000
17,1939-07-19,Round 18,66043,6,11007
18,1939-07-26,Finals,251145,4,62786
0,1940-03-22,Round 1,111000,6,18500
1,1940-03-29,Round 2,103044,6,17174
2,1940-04-05,Round 3,109867,6,18311
3,1940-04-12,Round 4,80000,6,13333
4,1940-04-19,Round 5,85043,6,14174
5,1940-04-26,Round 6,76000,6,12667
6,1940-05-03,Round 7,53000,6,8833
7,1940-05-10,Round 8,82737,6,13790
8,1940-05-17,Round 9,76000,6,12667
9,1940-05-24,Round 10,79265,6,13211
10,1940-05-31,Round 11,73500,6,12250
11,1940-06-07,Round 12,58140,6,9690
12,1940-06-14,Round 13,72500,6,12083
13,1940-06-21,Round 14,61500,6,10250
14,1940-06-28,Round 15,72000,6,12000
15,1940-07-05,Round 16,60000,6,10000
16,1940-07-12,Round 17,70722,6,11787
17,1940-07-19,Round 18,56000,6,9333
18,1940-07-26,Finals,216628,4,54157
0,1941-03-22,Round 1,86740,6,14457
1,1941-03-29,Round 2,87500,6,14583
2,1941-04-05,Round 3,77800,6,12967
3,1941-04-12,Round 4,79582,6,13264
4,1941-04-19,Round 5,71000,6,11833
5,1941-04-26,Round 6,71500,6,11917
6,1941-05-03,Round 7,86407,6,14401
7,1941-05-10,Round 8,28000,6,4667
8,1941-05-17,Round 9,74000,6,12333
