,Date,Round,Total,Games,Ave.
20,1983-08-09,Round 21,125531,6,20922
21,1983-08-16,Round 22,146801,6,24467
22,1983-08-23,Finals,420439,6,70073
0,1984-03-22,Round 1,157163,6,26194
1,1984-03-29,Round 2,129684,6,21614
2,1984-04-05,Round 3,137650,6,22942
3,1984-04-12,Round 4,160610,6,26768
4,1984-04-19,Round 5,194342,6,32390
5,1984-04-26,Round 6,139303,6,23217
6,1984-05-03,Round 7,136035,6,22673
7,1984-05-10,Round 8,185340,6,30890
8,1984-05-17,Round 9,129929,6,21655
9,1984-05-24,Round 10,146790,6,24465
10,1984-05-31,Round 11,186931,6,31155
11,1984-06-07,Round 12,119747,6,19958
12,1984-06-14,Round 13,125001,6,20834
13,1984-06-21,Round 14,121359,6,20227
14,1984-06-28,Round 15,112763,6,18794
15,1984-07-05,Round 16,121462,6,20244
16,1984-07-12,Round 17,89598,6,14933
17,1984-07-19,Round 18,121240,6,20207
18,1984-07-26,Round 19,100999,6,16833
19,1984-08-02,Round 20,91946,6,15324
20,1984-08-09,Round 21,103335,6,17223
21,1984-08-16,Round 22,140020,6,23337
22,1984-08-23,Finals,443324,6,73887
0,1985-03-22,Round 1,173723,6,28954
1,1985-03-29,Round 2,135522,6,22587
2,1985-04-05,Round 3,138015,6,23003
3,1985-04-12,Round 4,97489,6,16248
4,1985-04-19,Round 5,164289,6,27382
5,1985-04-26,Round 6,139572,6,23262
6,1985-05-03,Round 7,130403,6,21734
7,1985-05-10,Round 8,112592,6,18765
8,1985-05-17,Round 9,130449,6,21742
9,1985-05-24,Round 10,140551,6,23425
10,1985-05-31,Round 11,184244,6,30707
11,1985-06-07,Round 12,110943,6,18491
12,1985-06-14,Round 13,96961,6,16160
13,1985-06-21,Round 14,154707,6,25785
14,1985-06-28,Round 15,101472,6,16912
15,1985-07-05,Round 16,108305,6,18051
16,1985-07-12,Round 17,98888,6,16481
17,1985-07-19,Round 18,94281,6,15714
18,1985-07-26,Round 19,106677,6,17780
19,1985-08-02,Round 20,96399,6,16067
20,1985-08-09,Round 21,105616,6,17603
21,1985-08-16,Round 22,106119,6,17687
22,1985-08-23,Finals,385956,6,64326
0,1986-03-22,Round 1,164466,6,27411
1,1986-03-29,Round 2,128137,6,21356
2,1986-04-05,Round 3,123611,6,20602
3,1986-04-12,Round 4,113771,6,18962
4,1986-04-19,Round 5,206990,6,34498
5,1986-04-26,Round 6,150362,6,25060
6,1986-05-03,Round 7,128821,6,21470
7,1986-05-10,Round 8,118761,6,19794
8,1986-05-17,Round 9,127018,6,21170
9,1986-05-24,Round 10,145519,6,24253
10,1986-05-31,Round 11,155058,6,25843
11,1986-06-07,Round 12,175965,6,29328
12,1986-06-14,Round 13,113793,6,18966
13,1986-06-21,Round 14,109800,6,18300
14,1986-06-28,Round 15,100098,6,16683
15,1986-07-05,Round 16,131290,6,21882
16,1986-07-12,Round 17,151746,6,25291
17,1986-07-19,Round 18,103582,6,17264
18,1986-07-26,Round 19,216198,6,36033
19,1986-08-02,Round 20,86783,6,14464
20,1986-08-09,Round 21,108327,6,18055
21,1986-08-16,Round 22,111801,6,18634
22,1986-08-23,Finals,423714,6,70619
0,1987-03-22,Round 1,131518,7,18788
1,1987-03-29,Round 2,128032,7,18290
2,1987-04-05,Round 3,129954,7,18565
3,1987-04-12,Round 4,154019,7,22003
4,1987-04-19,Round 5,152690,7,21813
5,1987-04-26,Round 6,144966,7,20709
6,1987-05-03,Round 7,170694,7,24385
7,1987-05-10,Round 8,124314,7,17759
8,1987-05-17,Round 9,152951,7,21850
9,1987-05-24,Round 10,130806,7,18687
10,1987-05-31,Round 11,169570,7,24224
11,1987-06-07,Round 12,120785,7,17255
12,1987-06-14,Round 13,96933,7,13848
13,1987-06-21,Round 14,119729,7,17104
14,1987-06-28,Round 15,142015,7,20288
15,1987-07-05,Round 16,116153,7,16593
16,1987-07-12,Round 17,130546,7,18649
17,1987-07-19,Round 18,123643,7,17663
18,1987-07-26,Round 19,136119,7,19446
19,1987-08-02,Round 20,123225,7,17604
20,1987-08-09,Round 21,133074,7,19011
21,1987-08-16,Round 22,158476,7,22639
22,1987-08-23,Finals,429057,6,71510
0,1988-03-22,Round 1,149176,7,21311
1,1988-03-29,Round 2,123102,7,17586
2,1988-04-05,Round 3,142301,7,20329
3,1988-04-12,Round 4,148524,7,21218
4,1988-04-19,Round 5,166631,7,23804
5,1988-04-26,Round 6,155118,7,22160
6,1988-05-03,Round 7,130344,7,18621
7,1988-05-10,Round 8,134056,7,19151
8,1988-05-17,Round 9,142720,7,20389
9,1988-05-24,Round 10,143297,7,20471
10,1988-05-31,Round 11,161710,7,23101
11,1988-06-07,Round 12,114830,7,16404
12,1988-06-14,Round 13,131274,7,18753
13,1988-06-21,Round 14,143481,7,20497
14,1988-06-28,Round 15,123752,7,17679
15,1988-07-05,Round 16,174640,7,24949
16,1988-07-12,Round 17,119445,7,17064
17,1988-07-19,Round 18,119597,7,17085
18,1988-07-26,Round 19,116357,7,16622
19,1988-08-02,Round 20,159946,7,22849
20,1988-08-09,Round 21,133722,7,19103
21,1988-08-16,Round 22,158656,7,22665
22,1988-08-23,Finals,436199,6,72700
0,1989-03-22,Round 1,173267,7,24752
1,1989-03-29,Round 2,142962,7,20423
2,1989-04-05,Round 3,160381,7,22912
3,1989-04-12,Round 4,173275,7,24754
4,1989-04-19,Round 5,140619,7,20088
5,1989-04-26,Round 6,197022,7,28146
6,1989-05-03,Round 7,135709,7,19387
7,1989-05-10,Round 8,156816,7,22402
8,1989-05-17,Round 9,169332,7,24190
9,1989-05-24,Round 10,175227,7,25032
10,1989-05-31,Round 11,175828,7,25118
11,1989-06-07,Round 12,135655,7,19379
12,1989-06-14,Round 13,97353,7,13908
13,1989-06-21,Round 14,120447,7,17207
14,1989-06-28,Round 15,134657,7,19237
15,1989-07-05,Round 16,137229,7,19604
16,1989-07-12,Round 17,120065,7,17152
17,1989-07-19,Round 18,119720,7,17103
18,1989-07-26,Round 19,111094,7,15871
19,1989-08-02,Round 20,122808,7,17544
20,1989-08-09,Round 21,106661,7,15237
21,1989-08-16,Round 22,138999,7,19857
22,1989-08-23,Finals,436696,6,72783
0,1990-03-22,Round 1,171981,7,24569
1,1990-03-29,Round 2,188396,7,26914
2,1990-04-05,Round 3,199052,7,28436
3,1990-04-12,Round 4,126795,7,18114
4,1990-04-19,Round 5,206236,7,29462
5,1990-04-26,Round 6,171088,7,24441
6,1990-05-03,Round 7,161652,7,23093
7,1990-05-10,Round 8,156299,7,22328
8,1990-05-17,Round 9,149652,7,21379
9,1990-05-24,Round 10,154732,7,22105
10,1990-05-31,Round 11,193937,7,27705
11,1990-06-07,Round 12,165204,7,23601
12,1990-06-14,Round 13,162876,7,23268
13,1990-06-21,Round 14,136613,7,19516
14,1990-06-28,Round 15,182245,7,26035
15,1990-07-05,Round 16,124375,7,17768
16,1990-07-12,Round 17,161988,7,23141
17,1990-07-19,Round 18,143675,7,20525
18,1990-07-26,Round 19,172319,7,24617
19,1990-08-02,Round 20,167115,7,23874
20,1990-08-09,Round 21,115282,7,16469
21,1990-08-16,Round 22,175983,7,25140
22,1990-08-23,Finals,475790,7,67970
0,1991-03-22,Round 1,143060,4,35765
1,1991-03-29,Round 2,172029,7,24576
2,1991-04-05,Round 3,151053,7,21579
3,1991-04-12,Round 4,152644,7,21806
4,1991-04-19,Round 5,152112,7,21730
5,1991-04-26,Round 6,193592,7,27656
6,1991-05-03,Round 7,149014,7,21288
7,1991-05-10,Round 8,138094,7,19728
8,1991-05-17,Round 9,153516,7,21931
9,1991-05-24,Round 10,191445,7,27349
10,1991-05-31,Round 11,127579,7,18226
11,1991-06-07,Round 12,171849,7,24550
12,1991-06-14,Round 13,156486,7,22355
13,1991-06-21,Round 14,171774,7,24539
14,1991-06-28,Round 15,159178,7,22740
15,1991-07-05,Round 16,169713,7,24245
16,1991-07-12,Round 17,118606,7,16944
17,1991-07-19,Round 18,155806,7,22258
18,1991-07-26,Round 19,162432,7,23205
19,1991-08-02,Round 20,155211,7,22173
20,1991-08-09,Round 21,162861,7,23266
21,1991-08-16,Round 22,163318,7,23331
22,1991-08-23,Round 23,154794,7,22113
23,1991-08-30,Round 24,171011,7,24430
24,1991-09-06,Finals,381707,7,54530
0,1992-03-22,Round 1,128644,4,32161
1,1992-03-29,Round 2,176073,7,25153
2,1992-04-05,Round 3,138028,7,19718
3,1992-04-12,Round 4,201790,7,28827
4,1992-04-19,Round 5,206207,7,29458
5,1992-04-26,Round 6,240507,7,34358
6,1992-05-03,Round 7,159803,7,22829
7,1992-05-10,Round 8,202054,7,28865
8,1992-05-17,Round 9,165647,7,23664
9,1992-05-24,Round 10,178986,7,25569
10,1992-05-31,Round 11,173740,7,24820
11,1992-06-07,Round 12,234819,7,33546
12,1992-06-14,Round 13,136843,7,19549
13,1992-06-21,Round 14,207199,7,29600
14,1992-06-28,Round 15,166958,7,23851
15,1992-07-05,Round 16,155325,7,22189
16,1992-07-12,Round 17,162461,7,23209
17,1992-07-19,Round 18,165724,7,23675
18,1992-07-26,Round 19,232385,7,33198
19,1992-08-02,Round 20,154507,7,22072
20,1992-08-09,Round 21,179218,7,25603
21,1992-08-16,Round 22,174585,7,24941
22,1992-08-23,Round 23,204780,7,29254
23,1992-08-30,Round 24,186634,7,26662
24,1992-09-06,Finals,481348,7,68764
0,1993-03-22,Round 1,193352,7,27622
1,1993-03-29,Round 2,181532,7,25933
2,1993-04-05,Round 3,231887,7,33127
3,1993-04-12,Round 4,168930,6,28155
4,1993-04-19,Round 5,153511,6,25585
5,1993-04-26,Round 6,265108,7,37873
6,1993-05-03,Round 7,136876,7,19554
7,1993-05-10,Round 8,206107,7,29444
8,1993-05-17,Round 9,173047,7,24721
9,1993-05-24,Round 10,173539,7,24791
10,1993-05-31,Round 11,219134,7,31305
11,1993-06-07,Round 12,171233,7,24462
12,1993-06-14,Round 13,176505,7,25215
13,1993-06-21,Round 14,179935,7,25705
14,1993-06-28,Round 15,227083,7,32440
15,1993-07-05,Round 16,216730,7,30961
16,1993-07-12,Round 17,206355,7,29479
17,1993-07-19,Round 18,207336,7,29619
18,1993-07-26,Round 19,137422,6,22904
19,1993-08-02,Round 20,177100,6,29517
20,1993-08-09,Round 21,191894,7,27413
21,1993-08-16,Round 22,190772,7,27253
22,1993-08-23,Finals,472101,7,67443
0,1994-03-22,Round 1,205863,7,29409
1,1994-03-29,Round 2,234291,7,33470
2,1994-04-05,Round 3,173489,7,24784
3,1994-04-12,Round 4,209402,7,29915
4,1994-04-19,Round 5,238933,7,34133
5,1994-04-26,Round 6,106500,4,26625
6,1994-05-03,Round 7,183636,7,26234
7,1994-05-10,Round 8,177972,7,25425
8,1994-05-17,Round 9,228981,7,32712
9,1994-05-24,Round 10,227221,7,32460
10,1994-05-31,Round 11,153027,7,21861
11,1994-06-07,Round 12,229445,7,32778
12,1994-06-14,Round 13,167885,7,23984
13,1994-06-21,Round 14,175572,7,25082
14,1994-06-28,Round 15,195778,7,27968
15,1994-07-05,Round 16,179142,7,25592
16,1994-07-12,Round 17,236038,7,33720
17,1994-07-19,Round 18,212308,7,30330
18,1994-07-26,Round 19,158792,7,22685
19,1994-08-02,Round 20,188855,7,26979
20,1994-08-09,Round 21,206644,7,29521
21,1994-08-16,Round 22,213046,7,30435
22,1994-08-23,Round 23,191810,7,27401
23,1994-08-30,Round 24,228393,7,32628
24,1994-09-06,Finals,514375,9,57153
0,1995-03-22,Round 1,240721,8,30090
1,1995-03-29,Round 2,164893,8,20612
2,1995-04-05,Round 3,238880,8,29860
3,1995-04-12,Round 4,291321,8,36415
4,1995-04-19,Round 5,207982,8,25998
5,1995-04-26,Round 6,233733,8,29217
6,1995-05-03,Round 7,237722,8,29715
7,1995-05-10,Round 8,235925,8,29491
8,1995-05-17,Round 9,244246,8,30531
9,1995-05-24,Round 10,239367,8,29921
10,1995-05-31,Round 11,277416,8,34677
11,1995-06-07,Round 12,227845,8,28481
12,1995-06-14,Round 13,185376,8,23172
13,1995-06-21,Round 14,281450,8,35181
14,1995-06-28,Round 15,223742,8,27968
15,1995-07-05,Round 16,213076,8,26635
16,1995-07-12,Round 17,203656,8,25457
17,1995-07-19,Round 18,229548,8,28694
18,1995-07-26,Round 19,241206,8,30151
19,1995-08-02,Round 20,220230,8,27529
20,1995-08-09,Round 21,214314,8,26789
21,1995-08-16,Round 22,265125,8,33141
22,1995-08-23,Finals,594919,9,66102
0,1996-03-22,Round 1,290856,8,36357
1,1996-03-29,Round 2,259424,8,32428
2,1996-04-05,Round 3,172136,8,21517
3,1996-04-12,Round 4,204069,8,25509
4,1996-04-19,Round 5,254141,8,31768
5,1996-04-26,Round 6,206705,8,25838
6,1996-05-03,Round 7,305573,8,38197
7,1996-05-10,Round 8,276671,8,34584
8,1996-05-17,Round 9,227781,8,28473
9,1996-05-24,Round 10,270954,8,33869
10,1996-05-31,Round 11,193117,8,24140
11,1996-06-07,Round 12,245334,8,30667
12,1996-06-14,Round 13,225012,8,28127
13,1996-06-21,Round 14,268432,8,33554
14,1996-06-28,Round 15,203636,8,25455
15,1996-07-05,Round 16,227895,8,28487
16,1996-07-12,Round 17,223686,8,27961
17,1996-07-19,Round 18,174148,8,21769
18,1996-07-26,Round 19,156604,8,19576
19,1996-08-02,Round 20,233342,8,29168
20,1996-08-09,Round 21,313444,8,39181
21,1996-08-16,Round 22,283188,8,35399
22,1996-08-23,Finals,478773,9,53197
0,1997-03-22,Round 1,329369,8,41171
1,1997-03-29,Round 2,231707,8,28963
2,1997-04-05,Round 3,296994,8,37124
3,1997-04-12,Round 4,316244,8,39531
4,1997-04-19,Round 5,278707,8,34838
5,1997-04-26,Round 6,242690,8,30336
6,1997-05-03,Round 7,237494,8,29687
7,1997-05-10,Round 8,266359,8,33295
8,1997-05-17,Round 9,254764,8,31846
9,1997-05-24,Round 10,249839,8,31230
10,1997-05-31,Round 11,296852,8,37107
11,1997-06-07,Round 12,220828,8,27604
12,1997-06-14,Round 13,261336,8,32667
13,1997-06-21,Round 14,282401,8,35300
14,1997-06-28,Round 15,267913,8,33489
15,1997-07-05,Round 16,265949,8,33244
16,1997-07-12,Round 17,252738,8,31592
17,1997-07-19,Round 18,275685,8,34461
18,1997-07-26,Round 19,276689,8,34586
19,1997-08-02,Round 20,245514,8,30689
20,1997-08-09,Round 21,223400,8,27925
21,1997-08-16,Round 22,269119,8,33640
22,1997-08-23,Finals,561223,9,62358
0,1998-03-22,Round 1,268409,8,33551
1,1998-03-29,Round 2,265543,8,33193
2,1998-04-05,Round 3,264833,8,33104
3,1998-04-12,Round 4,285649,8,35706
4,1998-04-19,Round 5,295240,8,36905
5,1998-04-26,Round 6,253179,8,31647
6,1998-05-03,Round 7,283374,8,35422
7,1998-05-10,Round 8,288182,8,36023
8,1998-05-17,Round 9,235452,8,29432
9,1998-05-24,Round 10,255322,8,31915
10,1998-05-31,Round 11,332211,8,41526
11,1998-06-07,Round 12,259091,8,32386
12,1998-06-14,Round 13,241730,8,30216
13,1998-06-21,Round 14,265255,8,33157
14,1998-06-28,Round 15,280958,8,35120
15,1998-07-05,Round 16,294974,8,36872
16,1998-07-12,Round 17,245701,8,30713
17,1998-07-19,Round 18,277889,8,34736
18,1998-07-26,Round 19,268029,8,33504
19,1998-08-02,Round 20,262308,8,32789
20,1998-08-09,Round 21,327861,8,40983
21,1998-08-16,Round 22,367974,8,45997
22,1998-08-23,Finals,572733,9,63637
0,1999-03-22,Round 1,321666,8,40208
1,1999-03-29,Round 2,306196,8,38275
2,1999-04-05,Round 3,256356,8,32045
3,1999-04-12,Round 4,267019,8,33377
4,1999-04-19,Round 5,277644,8,34706
5,1999-04-26,Round 6,293188,8,36649
6,1999-05-03,Round 7,248062,8,31008
7,1999-05-10,Round 8,241446,8,30181
8,1999-05-17,Round 9,259941,8,32493
9,1999-05-24,Round 10,235542,8,29443
10,1999-05-31,Round 11,256703,8,32088
11,1999-06-07,Round 12,234585,8,29323
12,1999-06-14,Round 13,252174,8,31522
13,1999-06-21,Round 14,283061,8,35383
14,1999-06-28,Round 15,241702,8,30213
15,1999-07-05,Round 16,279628,8,34954
16,1999-07-12,Round 17,284555,8,35569
17,1999-07-19,Round 18,215406,8,26926
18,1999-07-26,Round 19,237154,8,29644
19,1999-08-02,Round 20,264703,8,33088
20,1999-08-09,Round 21,241813,8,30227
21,1999-08-16,Round 22,273035,8,34129
22,1999-08-23,Finals,472007,9,52445
0,2000-03-22,Round 1,269829,8,33729
1,2000-03-29,Round 2,234864,8,29358
2,2000-04-05,Round 3,273264,8,34158
3,2000-04-12,Round 4,252461,8,31558
4,2000-04-19,Round 5,247067,8,30883
5,2000-04-26,Round 6,262927,8,32866
6,2000-05-03,Round 7,315636,8,39455
7,2000-05-10,Round 8,226652,8,28332
8,2000-05-17,Round 9,283846,8,35481
9,2000-05-24,Round 10,250731,8,31341
10,2000-05-31,Round 11,242134,8,30267
11,2000-06-07,Round 12,224006,8,28001
12,2000-06-14,Round 13,263274,8,32909
13,2000-06-21,Round 14,271437,8,33930
14,2000-06-28,Round 15,235230,8,29404
15,2000-07-05,Round 16,250060,8,31258
16,2000-07-12,Round 17,273687,8,34211
17,2000-07-19,Round 18,199061,8,24883
18,2000-07-26,Round 19,243507,8,30438
19,2000-08-02,Round 20,294455,8,36807
20,2000-08-09,Round 21,305435,8,38179
21,2000-08-16,Round 22,321248,8,40156
22,2000-08-23,Finals,566562,9,62951
0,2001-03-22,Round 1,283718,8,35465
1,2001-03-29,Round 2,250172,8,31272
2,2001-04-05,Round 3,283815,8,35477
3,2001-04-12,Round 4,270433,8,33804
4,2001-04-19,Round 5,288673,8,36084
5,2001-04-26,Round 6,269420,8,33678
6,2001-05-03,Round 7,300273,8,37534
7,2001-05-10,Round 8,209805,8,26226
8,2001-05-17,Round 9,268902,8,33613
9,2001-05-24,Round 10,250156,8,31270
10,2001-05-31,Round 11,322756,8,40345
11,2001-06-07,Round 12,256069,8,32009
12,2001-06-14,Round 13,236534,8,29567
13,2001-06-21,Round 14,279435,8,34929
14,2001-06-28,Round 15,254166,8,31771
15,2001-07-05,Round 16,287339,8,35917
16,2001-07-12,Round 17,241920,8,30240
17,2001-07-19,Round 18,334237,8,41780
18,2001-07-26,Round 19,272570,8,34071
19,2001-08-02,Round 20,252916,8,31615
20,2001-08-09,Round 21,269973,8,33747
21,2001-08-16,Round 22,237835,8,29729
22,2001-08-23,Finals,526443,9,58494
0,2002-03-22,Round 1,295477,8,36935
1,2002-03-29,Round 2,256016,8,32002
2,2002-04-05,Round 3,271009,8,33876
3,2002-04-12,Round 4,222542,8,27818
4,2002-04-19,Round 5,314423,8,39303
5,2002-04-26,Round 6,235540,8,29443
6,2002-05-03,Round 7,280348,8,35044
7,2002-05-10,Round 8,214155,8,26769
8,2002-05-17,Round 9,250617,8,31327
9,2002-05-24,Round 10,242782,8,30348
10,2002-05-31,Round 11,285959,8,35745
11,2002-06-07,Round 12,207051,8,25881
12,2002-06-14,Round 13,253086,8,31636
13,2002-06-21,Round 14,245083,8,30635
14,2002-06-28,Round 15,257033,8,32129
15,2002-07-05,Round 16,285797,8,35725
16,2002-07-12,Round 17,237395,8,29674
17,2002-07-19,Round 18,227039,8,28380
18,2002-07-26,Round 19,235070,8,29384
19,2002-08-02,Round 20,280161,8,35020
20,2002-08-09,Round 21,260583,8,32573
21,2002-08-16,Round 22,286376,8,35797
22,2002-08-23,Finals,449445,9,49938
0,2003-03-22,Round 1,306757,8,38345
1,2003-03-29,Round 2,234888,8,29361
2,2003-04-05,Round 3,233635,8,29204
3,2003-04-12,Round 4,257250,8,32156
4,2003-04-19,Round 5,314484,8,39311
5,2003-04-26,Round 6,232226,8,29028
6,2003-05-03,Round 7,258955,8,32369
7,2003-05-10,Round 8,254960,8,31870
8,2003-05-17,Round 9,249889,8,31236
9,2003-05-24,Round 10,243524,8,30441
10,2003-05-31,Round 11,318153,8,39769
11,2003-06-07,Round 12,270248,8,33781
12,2003-06-14,Round 13,250655,8,31332
13,2003-06-21,Round 14,282289,8,35286
14,2003-06-28,Round 15,257033,8,32129
15,2003-07-05,Round 16,272188,8,34024
16,2003-07-12,Round 17,270390,8,33799
17,2003-07-19,Round 18,256958,8,32120
18,2003-07-26,Round 19,284751,8,35594
19,2003-08-02,Round 20,253548,8,31694
20,2003-08-09,Round 21,287415,8,35927
21,2003-08-16,Round 22,283124,8,35391
22,2003-08-23,Finals,478335,9,53148
0,2004-03-22,Round 1,263705,8,32963
1,2004-03-29,Round 2,280889,8,35111
2,2004-04-05,Round 3,262617,8,32827
3,2004-04-12,Round 4,268483,8,33560
4,2004-04-19,Round 5,268988,8,33624
5,2004-04-26,Round 6,266986,8,33373
6,2004-05-03,Round 7,286682,8,35835
7,2004-05-10,Round 8,254026,8,31753
8,2004-05-17,Round 9,260554,8,32569
9,2004-05-24,Round 10,267397,8,33425
10,2004-05-31,Round 11,295616,8,36952
11,2004-06-07,Round 12,288489,8,36061
12,2004-06-14,Round 13,280419,8,35052
13,2004-06-21,Round 14,266577,8,33322
14,2004-06-28,Round 15,293877,8,36735
15,2004-07-05,Round 16,222522,8,27815
16,2004-07-12,Round 17,266272,8,33284
17,2004-07-19,Round 18,251317,8,31415
18,2004-07-26,Round 19,245075,8,30634
19,2004-08-02,Round 20,250804,8,31351
20,2004-08-09,Round 21,262974,8,32872
21,2004-08-16,Round 22,305567,8,38196
22,2004-08-23,Finals,458461,9,50940
0,2005-03-22,Round 1,323106,8,40388
1,2005-03-29,Round 2,248042,8,31005
2,2005-04-05,Round 3,346177,8,43272
3,2005-04-12,Round 4,295363,8,36920
4,2005-04-19,Round 5,317844,8,39731
5,2005-04-26,Round 6,285032,8,35629
6,2005-05-03,Round 7,279304,8,34913
7,2005-05-10,Round 8,309719,8,38715
8,2005-05-17,Round 9,245442,8,30680
9,2005-05-24,Round 10,305492,8,38187
10,2005-05-31,Round 11,247835,8,30979
11,2005-06-07,Round 12,291652,8,36457
12,2005-06-14,Round 13,263580,8,32948
13,2005-06-21,Round 14,302382,8,37798
14,2005-06-28,Round 15,263034,8,32879
15,2005-07-05,Round 16,262247,8,32781
16,2005-07-12,Round 17,263280,8,32910
17,2005-07-19,Round 18,272889,8,34111
18,2005-07-26,Round 19,276943,8,34618
19,2005-08-02,Round 20,303178,8,37897
20,2005-08-09,Round 21,270005,8,33751
21,2005-08-16,Round 22,311242,8,38905
22,2005-08-23,Finals,480064,9,53340
0,2006-03-22,Round 1,260067,8,32508
1,2006-03-29,Round 2,281020,8,35128
2,2006-04-05,Round 3,262120,8,32765
3,2006-04-12,Round 4,318510,8,39814
4,2006-04-19,Round 5,291552,8,36444
5,2006-04-26,Round 6,340193,8,42524
6,2006-05-03,Round 7,231779,8,28972
7,2006-05-10,Round 8,296405,8,37051
8,2006-05-17,Round 9,292396,8,36550
9,2006-05-24,Round 10,258517,8,32315
10,2006-05-31,Round 11,312282,8,39035
11,2006-06-07,Round 12,274683,8,34335
12,2006-06-14,Round 13,290672,8,36334
13,2006-06-21,Round 14,252142,8,31518
14,2006-06-28,Round 15,270189,8,33774
15,2006-07-05,Round 16,282803,8,35350
16,2006-07-12,Round 17,257425,8,32178
17,2006-07-19,Round 18,249639,8,31205
18,2006-07-26,Round 19,309042,8,38630
19,2006-08-02,Round 20,255703,8,31963
20,2006-08-09,Round 21,318188,8,39774
21,2006-08-16,Round 22,298729,8,37341
22,2006-08-23,Finals,532178,9,59131
0,2007-03-22,Round 1,364544,8,45568
1,2007-03-29,Round 2,275850,8,34481
2,2007-04-05,Round 3,344536,8,43067
3,2007-04-12,Round 4,249456,8,31182
4,2007-04-19,Round 5,289846,8,36231
5,2007-04-26,Round 6,287213,8,35902
6,2007-05-03,Round 7,294156,8,36770
7,2007-05-10,Round 8,256408,8,32051
8,2007-05-17,Round 9,250356,8,31295
9,2007-05-24,Round 10,267296,8,33412
10,2007-05-31,Round 11,342376,8,42797
11,2007-06-07,Round 12,272324,8,34041
12,2007-06-14,Round 13,299520,8,37440
13,2007-06-21,Round 14,299201,8,37400
14,2007-06-28,Round 15,317207,8,39651
15,2007-07-05,Round 16,298015,8,37252
16,2007-07-12,Round 17,245872,8,30734
17,2007-07-19,Round 18,292841,8,36605
18,2007-07-26,Round 19,284129,8,35516
19,2007-08-02,Round 20,296987,8,37123
20,2007-08-09,Round 21,357948,8,44744
21,2007-08-16,Round 22,289440,8,36180
22,2007-08-23,Finals,574424,9,63825
0,2008-03-22,Round 1,335422,8,41928
1,2008-03-29,Round 2,295957,8,36995
2,2008-04-05,Round 3,350885,8,43861
3,2008-04-12,Round 4,315414,8,39427
4,2008-04-19,Round 5,313551,8,39194
5,2008-04-26,Round 6,315844,8,39481
6,2008-05-03,Round 7,300023,8,37503
7,2008-05-10,Round 8,252580,8,31573
8,2008-05-17,Round 9,331733,8,41467
9,2008-05-24,Round 10,271534,8,33942
10,2008-05-31,Round 11,308527,8,38566
11,2008-06-07,Round 12,306666,8,38333
12,2008-06-14,Round 13,269748,8,33719
13,2008-06-21,Round 14,284302,8,35538
14,2008-06-28,Round 15,303507,8,37938
15,2008-07-05,Round 16,299532,8,37442
16,2008-07-12,Round 17,320817,8,40102
17,2008-07-19,Round 18,276170,8,34521
18,2008-07-26,Round 19,262023,8,32753
19,2008-08-02,Round 20,268049,8,33506
20,2008-08-09,Round 21,256086,8,32011
21,2008-08-16,Round 22,272885,8,34111
22,2008-08-23,Finals,571760,9,63529
0,2009-03-22,Round 1,349093,8,43637
1,2009-03-29,Round 2,281844,8,35231
2,2009-04-05,Round 3,315160,8,39395
3,2009-04-12,Round 4,278119,8,34765
4,2009-04-19,Round 5,264220,8,33028
5,2009-04-26,Round 6,321009,8,40126
6,2009-05-03,Round 7,245638,8,30705
7,2009-05-10,Round 8,299595,8,37449
8,2009-05-17,Round 9,304743,8,38093
9,2009-05-24,Round 10,241923,8,30240
10,2009-05-31,Round 11,300217,8,37527
11,2009-06-07,Round 12,255468,8,31934
12,2009-06-14,Round 13,311584,8,38948
13,2009-06-21,Round 14,280235,8,35029
14,2009-06-28,Round 15,266970,8,33371
15,2009-07-05,Round 16,282692,8,35337
16,2009-07-12,Round 17,361450,8,45181
17,2009-07-19,Round 18,252735,8,31592
18,2009-07-26,Round 19,263088,8,32886
19,2009-08-02,Round 20,283738,8,35467
20,2009-08-09,Round 21,302442,8,37805
21,2009-08-16,Round 22,308438,8,38555
22,2009-08-23,Finals,615283,9,68365
0,2010-03-22,Round 1,337109,8,42139
1,2010-03-29,Round 2,317895,8,39737
2,2010-04-05,Round 3,288819,8,36102
3,2010-04-12,Round 4,299581,8,37448
4,2010-04-19,Round 5,330837,8,41355
5,2010-04-26,Round 6,347824,8,43478
6,2010-05-03,Round 7,291023,8,36378
7,2010-05-10,Round 8,245627,8,30703
8,2010-05-17,Round 9,332530,8,41566
9,2010-05-24,Round 10,251534,8,31442
10,2010-05-31,Round 11,262521,8,32815
11,2010-06-07,Round 12,293087,8,36636
12,2010-06-14,Round 13,297036,8,37130
13,2010-06-21,Round 14,288134,8,36017
14,2010-06-28,Round 15,286068,8,35759
15,2010-07-05,Round 16,284796,8,35600
16,2010-07-12,Round 17,299822,8,37478
17,2010-07-19,Round 18,281054,8,35132
18,2010-07-26,Round 19,316037,8,39505
19,2010-08-02,Round 20,291124,8,36391
20,2010-08-09,Round 21,255239,8,31905
21,2010-08-16,Round 22,298117,8,37265
22,2010-08-23,Finals,650924,10,65092
0,2011-03-22,Round 1,317651,8,39706
1,2011-03-29,Round 2,270493,8,33812
2,2011-04-05,Round 3,321186,8,40148
3,2011-04-12,Round 4,256511,7,36644
4,2011-04-19,Round 5,323654,7,46236
5,2011-04-26,Round 6,239171,7,34167
